Iteration,Temperature,CurrentCost ftv170
482,8.0262e+01,18457
483,8.0181e+01,18200
484,8.0101e+01,18139
485,8.0021e+01,17393
486,7.9941e+01,17736
487,7.9861e+01,18898
488,7.9781e+01,18137
489,7.9702e+01,18200
490,7.9622e+01,18990
491,7.9542e+01,18837
492,7.9463e+01,17850
493,7.9383e+01,18620
494,7.9304e+01,17470
495,7.9225e+01,17690
496,7.9145e+01,17192
497,7.9066e+01,19750
498,7.8987e+01,18076
499,7.8908e+01,18997
500,7.8829e+01,17456
501,7.8750e+01,17875
502,7.8672e+01,17028
503,7.8593e+01,17061
504,7.8514e+01,18594
505,7.8436e+01,17782
506,7.8357e+01,18140
507,7.8279e+01,18051
508,7.8201e+01,17392
509,7.8123e+01,18666
510,7.8045e+01,19551
511,7.7966e+01,18202
512,7.7888e+01,19057
513,7.7811e+01,19300
514,7.7733e+01,18721
515,7.7655e+01,18143
516,7.7577e+01,17478
517,7.7500e+01,18121
518,7.7422e+01,17331
519,7.7345e+01,18413
520,7.7268e+01,18249
521,7.7190e+01,18834
522,7.7113e+01,18486
523,7.7036e+01,17452
524,7.6959e+01,18497
525,7.6882e+01,17414
526,7.6805e+01,17788
527,7.6728e+01,18409
528,7.6652e+01,16623
529,7.6575e+01,19089
530,7.6498e+01,17790
531,7.6422e+01,18621
532,7.6345e+01,17569
533,7.6269e+01,17489
534,7.6193e+01,18418
535,7.6117e+01,18259
536,7.6041e+01,17852
537,7.5964e+01,18582
538,7.5889e+01,18401
539,7.5813e+01,18911
540,7.5737e+01,17427
541,7.5661e+01,16569
542,7.5585e+01,17973
543,7.5510e+01,17399
544,7.5434e+01,16908
545,7.5359e+01,17119
546,7.5284e+01,18937
547,7.5208e+01,17393
548,7.5133e+01,18795
549,7.5058e+01,18259
550,7.4983e+01,18888
551,7.4908e+01,17043
552,7.4833e+01,17987
553,7.4758e+01,17134
554,7.4683e+01,17300
555,7.4609e+01,17940
556,7.4534e+01,17252
557,7.4460e+01,19110
558,7.4385e+01,17141
559,7.4311e+01,17462
560,7.4236e+01,15909
561,7.4162e+01,17943
562,7.4088e+01,18479
563,7.4014e+01,16904
564,7.3940e+01,17780
565,7.3866e+01,17548
566,7.3792e+01,17055
567,7.3718e+01,18451
568,7.3645e+01,17476
569,7.3571e+01,18368
570,7.3497e+01,17154
571,7.3424e+01,17908
572,7.3350e+01,18205
573,7.3277e+01,17439
574,7.3204e+01,18525
575,7.3131e+01,16642
576,7.3057e+01,17486
577,7.2984e+01,16795
578,7.2911e+01,18643
579,7.2839e+01,17602
580,7.2766e+01,17460
581,7.2693e+01,17631
582,7.2620e+01,18458
583,7.2548e+01,17544
584,7.2475e+01,17150
585,7.2403e+01,17020
586,7.2330e+01,18887
587,7.2258e+01,17816
588,7.2186e+01,16723
589,7.2113e+01,16633
590,7.2041e+01,19188
591,7.1969e+01,18146
592,7.1897e+01,19192
593,7.1825e+01,17148
594,7.1754e+01,18430
595,7.1682e+01,17546
596,7.1610e+01,17511
597,7.1538e+01,16888
598,7.1467e+01,17335
599,7.1395e+01,17484
600,7.1324e+01,18634
601,7.1253e+01,17244
602,7.1182e+01,18490
603,7.1110e+01,15810
604,7.1039e+01,18359
605,7.0968e+01,16394
606,7.0897e+01,16449
607,7.0826e+01,15264
608,7.0755e+01,15193
609,7.0685e+01,17465
610,7.0614e+01,17737
611,7.0543e+01,17420
612,7.0473e+01,16757
613,7.0402e+01,17237
614,7.0332e+01,18398
615,7.0262e+01,17890
616,7.0191e+01,17490
617,7.0121e+01,17083
618,7.0051e+01,16555
619,6.9981e+01,17223
620,6.9911e+01,16325
621,6.9841e+01,18279
622,6.9771e+01,16969
623,6.9702e+01,16847
624,6.9632e+01,17664
625,6.9562e+01,17826
626,6.9493e+01,18627
627,6.9423e+01,16839
628,6.9354e+01,17461
629,6.9284e+01,16872
630,6.9215e+01,17686
631,6.9146e+01,16962
632,6.9077e+01,17216
633,6.9008e+01,18076
634,6.8939e+01,16635
635,6.8870e+01,16104
636,6.8801e+01,16680
637,6.8732e+01,17158
638,6.8663e+01,17539
639,6.8595e+01,15846
640,6.8526e+01,16219
641,6.8458e+01,16366
642,6.8389e+01,17148
643,6.8321e+01,16552
644,6.8252e+01,16537
645,6.8184e+01,16797
646,6.8116e+01,17276
647,6.8048e+01,16417
648,6.7980e+01,16353
649,6.7912e+01,16782
650,6.7844e+01,17471
651,6.7776e+01,16772
652,6.7708e+01,15908
653,6.7641e+01,16528
654,6.7573e+01,16677
655,6.7505e+01,17715
656,6.7438e+01,17804
657,6.7370e+01,17500
658,6.7303e+01,16138
659,6.7236e+01,17315
660,6.7168e+01,16777
661,6.7101e+01,16095
662,6.7034e+01,15510
663,6.6967e+01,17571
664,6.6900e+01,17801
665,6.6833e+01,16796
666,6.6766e+01,16083
667,6.6700e+01,17115
668,6.6633e+01,17204
669,6.6566e+01,16696
670,6.6500e+01,18172
671,6.6433e+01,16990
672,6.6367e+01,16833
673,6.6301e+01,15706
674,6.6234e+01,16667
675,6.6168e+01,16821
676,6.6102e+01,16573
677,6.6036e+01,17815
678,6.5970e+01,17146
679,6.5904e+01,15833
680,6.5838e+01,16614
681,6.5772e+01,17366
682,6.5706e+01,16253
683,6.5640e+01,15765
684,6.5575e+01,16468
685,6.5509e+01,15807
686,6.5444e+01,16887
687,6.5378e+01,14872
688,6.5313e+01,16200
689,6.5248e+01,15781
690,6.5182e+01,16288
691,6.5117e+01,17680
692,6.5052e+01,16461
693,6.4987e+01,15897
694,6.4922e+01,16845
695,6.4857e+01,16408
696,6.4792e+01,16801
697,6.4727e+01,16177
698,6.4663e+01,16555
699,6.4598e+01,16440
700,6.4533e+01,16616
701,6.4469e+01,16130
702,6.4404e+01,16524
703,6.4340e+01,16981
704,6.4276e+01,17917
705,6.4211e+01,16954
706,6.4147e+01,15773
707,6.4083e+01,16853
708,6.4019e+01,16591
709,6.3955e+01,15505
710,6.3891e+01,16743
711,6.3827e+01,16549
712,6.3763e+01,16788
713,6.3700e+01,17572
714,6.3636e+01,15410
715,6.3572e+01,17739
716,6.3509e+01,15707
717,6.3445e+01,16162
718,6.3382e+01,15829
719,6.3318e+01,15964
720,6.3255e+01,16977
721,6.3192e+01,16153
722,6.3129e+01,16796
723,6.3065e+01,16216
724,6.3002e+01,16040
725,6.2939e+01,15529
726,6.2876e+01,17343
727,6.2814e+01,15528
728,6.2751e+01,16054
729,6.2688e+01,15358
730,6.2625e+01,16983
731,6.2563e+01,16464
732,6.2500e+01,15575
733,6.2438e+01,16955
734,6.2375e+01,16058
735,6.2313e+01,17358
736,6.2250e+01,15690
737,6.2188e+01,16355
738,6.2126e+01,17081
739,6.2064e+01,16539
740,6.2002e+01,16586
741,6.1940e+01,16188
742,6.1878e+01,16186
743,6.1816e+01,16577
744,6.1754e+01,16769
745,6.1692e+01,16244
746,6.1631e+01,14987
747,6.1569e+01,16542
748,6.1508e+01,17665
749,6.1446e+01,16033
750,6.1385e+01,15978
751,6.1323e+01,16063
752,6.1262e+01,16062
753,6.1201e+01,15897
754,6.1139e+01,16390
755,6.1078e+01,16637
756,6.1017e+01,16868
757,6.0956e+01,16584
758,6.0895e+01,15702
759,6.0834e+01,15141
760,6.0774e+01,14859
761,6.0713e+01,16351
762,6.0652e+01,17343
763,6.0591e+01,16576
764,6.0531e+01,16265
765,6.0470e+01,15510
766,6.0410e+01,15969
767,6.0349e+01,15861
768,6.0289e+01,16134
769,6.0229e+01,15617
770,6.0169e+01,16848
771,6.0108e+01,14716
772,6.0048e+01,16305
773,5.9988e+01,15211
774,5.9928e+01,16738
775,5.9868e+01,16006
776,5.9808e+01,16190
777,5.9749e+01,15707
778,5.9689e+01,16612
779,5.9629e+01,16191
780,5.9570e+01,15430
781,5.9510e+01,16162
782,5.9450e+01,15471
783,5.9391e+01,16545
784,5.9332e+01,15477
785,5.9272e+01,16772
786,5.9213e+01,16754
787,5.9154e+01,15334
788,5.9095e+01,16486
789,5.9036e+01,16500
790,5.8977e+01,15028
791,5.8918e+01,16430
792,5.8859e+01,15525
793,5.8800e+01,14841
794,5.8741e+01,14372
795,5.8682e+01,14843
796,5.8624e+01,15963
797,5.8565e+01,16160
798,5.8506e+01,16027
799,5.8448e+01,15518
800,5.8389e+01,17115
801,5.8331e+01,16117
802,5.8273e+01,17171
803,5.8214e+01,15263
804,5.8156e+01,15601
805,5.8098e+01,15764
806,5.8040e+01,15676
807,5.7982e+01,16149
808,5.7924e+01,16880
809,5.7866e+01,16025
810,5.7808e+01,14568
811,5.7750e+01,17073
812,5.7693e+01,16260
813,5.7635e+01,17297
814,5.7577e+01,15022
815,5.7520e+01,14468
816,5.7462e+01,15518
817,5.7405e+01,15587
818,5.7347e+01,15664
819,5.7290e+01,15721
820,5.7233e+01,16365
821,5.7175e+01,16372
822,5.7118e+01,16639
823,5.7061e+01,14985
824,5.7004e+01,15390
825,5.6947e+01,15308
826,5.6890e+01,15217
827,5.6833e+01,15627
828,5.6776e+01,15582
829,5.6720e+01,15455
830,5.6663e+01,14735
831,5.6606e+01,15504
832,5.6550e+01,15337
833,5.6493e+01,16463
834,5.6437e+01,13499
835,5.6380e+01,16114
836,5.6324e+01,15744
837,5.6267e+01,15929
838,5.6211e+01,14762
839,5.6155e+01,15549
840,5.6099e+01,15373
841,5.6043e+01,15840
842,5.5987e+01,15503
843,5.5931e+01,16343
844,5.5875e+01,16766
845,5.5819e+01,16669
846,5.5763e+01,14746
847,5.5707e+01,15866
848,5.5652e+01,15927
849,5.5596e+01,15624
850,5.5540e+01,15385
851,5.5485e+01,16701
852,5.5429e+01,16540
853,5.5374e+01,15480
854,5.5318e+01,15697
855,5.5263e+01,15272
856,5.5208e+01,15296
857,5.5153e+01,14960
858,5.5098e+01,14966
859,5.5042e+01,15078
860,5.4987e+01,15159
861,5.4932e+01,14288
862,5.4877e+01,14909
863,5.4823e+01,16124
864,5.4768e+01,15148
865,5.4713e+01,14620
866,5.4658e+01,13663
867,5.4604e+01,15103
868,5.4549e+01,14818
869,5.4494e+01,15967
870,5.4440e+01,15595
871,5.4386e+01,14793
872,5.4331e+01,14765
873,5.4277e+01,15192
874,5.4223e+01,15205
875,5.4168e+01,15717
876,5.4114e+01,14940
877,5.4060e+01,15880
878,5.4006e+01,15438
879,5.3952e+01,15188
880,5.3898e+01,14643
