Iteration,Temperature,CurrentCost d198
371,9.7278e+01,37904
372,9.7181e+01,36919
373,9.7084e+01,37160
374,9.6987e+01,37166
375,9.6890e+01,35037
376,9.6793e+01,34810
377,9.6696e+01,33808
378,9.6599e+01,35041
379,9.6503e+01,35393
380,9.6406e+01,36397
381,9.6310e+01,34632
382,9.6213e+01,34723
383,9.6117e+01,37040
384,9.6021e+01,35581
385,9.5925e+01,34721
386,9.5829e+01,37203
387,9.5733e+01,37098
388,9.5638e+01,34512
389,9.5542e+01,36652
390,9.5446e+01,35405
391,9.5351e+01,36127
392,9.5256e+01,35203
393,9.5160e+01,34701
394,9.5065e+01,33595
395,9.4970e+01,33591
396,9.4875e+01,35355
397,9.4780e+01,36135
398,9.4685e+01,36356
399,9.4591e+01,31860
400,9.4496e+01,33850
401,9.4402e+01,34468
402,9.4307e+01,34686
403,9.4213e+01,35960
404,9.4119e+01,35514
405,9.4025e+01,33848
406,9.3931e+01,32896
407,9.3837e+01,34795
408,9.3743e+01,37285
409,9.3649e+01,35190
410,9.3555e+01,32950
411,9.3462e+01,33891
412,9.3368e+01,32601
413,9.3275e+01,36480
414,9.3182e+01,34607
415,9.3089e+01,33614
416,9.2996e+01,34898
417,9.2903e+01,35155
418,9.2810e+01,35179
419,9.2717e+01,34293
420,9.2624e+01,34667
421,9.2532e+01,32817
422,9.2439e+01,35263
423,9.2347e+01,34041
424,9.2254e+01,35456
425,9.2162e+01,33966
426,9.2070e+01,33792
427,9.1978e+01,34199
428,9.1886e+01,31634
429,9.1794e+01,35249
430,9.1702e+01,33908
431,9.1610e+01,34237
432,9.1519e+01,33913
433,9.1427e+01,36796
434,9.1336e+01,38402
435,9.1244e+01,34023
436,9.1153e+01,35252
437,9.1062e+01,34684
438,9.0971e+01,34113
439,9.0880e+01,33106
440,9.0789e+01,34108
441,9.0698e+01,37022
442,9.0608e+01,34147
443,9.0517e+01,32971
444,9.0427e+01,36002
445,9.0336e+01,35262
446,9.0246e+01,34595
447,9.0156e+01,35549
448,9.0065e+01,33013
449,8.9975e+01,35848
450,8.9885e+01,32576
451,8.9795e+01,31999
452,8.9706e+01,32318
453,8.9616e+01,32072
454,8.9526e+01,32465
455,8.9437e+01,32974
456,8.9347e+01,33368
457,8.9258e+01,33651
458,8.9169e+01,32865
459,8.9080e+01,34267
460,8.8991e+01,33086
461,8.8902e+01,34205
462,8.8813e+01,34568
463,8.8724e+01,32009
464,8.8635e+01,30608
465,8.8546e+01,31692
466,8.8458e+01,32355
467,8.8369e+01,32617
468,8.8281e+01,31809
469,8.8193e+01,32952
470,8.8105e+01,33673
471,8.8016e+01,35361
472,8.7928e+01,34774
473,8.7841e+01,34274
474,8.7753e+01,34232
475,8.7665e+01,34114
476,8.7577e+01,32122
477,8.7490e+01,31882
478,8.7402e+01,33805
479,8.7315e+01,35700
480,8.7228e+01,32815
481,8.7140e+01,33940
482,8.7053e+01,33939
483,8.6966e+01,33593
484,8.6879e+01,31690
485,8.6792e+01,30790
486,8.6705e+01,33144
487,8.6619e+01,34145
488,8.6532e+01,32366
489,8.6446e+01,32718
